ArraySize,Processors,Time(ns)
4,3,912700
4,6,326600
4,9,312300
8,3,312900
8,6,296200
8,9,484400
16,3,249900
16,6,310100
16,9,230000
32,3,285300
32,6,255600
32,9,255800
64,3,275100
64,6,399000
64,9,308800
128,3,322300
128,6,346400
128,9,275100
256,3,307200
256,6,275700
256,9,370000
