ArraySize,Processors,Time(ns)
4,3,761700
4,6,469700
4,9,316800
8,3,228300
8,6,223700
8,9,292700
16,3,260700
16,6,291900
16,9,375300
32,3,503700
32,6,464300
32,9,419100
64,3,510200
64,6,489500
64,9,524900
128,3,457400
128,6,1058300
128,9,626700
256,3,564100
256,6,3305900
256,9,721900
