ArraySize,Processors,Time(ns)
4,3,847300
4,6,262200
8,3,282500
8,6,268800
16,3,281000
16,6,208400
32,3,382300
32,6,389400
64,3,439700
64,6,549300
128,3,442000
128,6,586700
